"latitude;";longitude
"41.1522905;";-8.6101396
"41.1520517156656;";-8.61006624425036
"41.1518478740218;";-8.62746525842353
"41.1517588333333;";-8.62742283333333
"41.1517588333333;";-8.62742283333333
"41.1516696779847;";-8.61805175367962
"41.1515284935395;";-8.6179225612512
"41.1515249731402;";-8.61796991900412
"41.1515081666666;";-8.61795216666666
"41.1514986666666;";-8.617954
"41.1514876666666;";-8.61803866666666
"41.1514867;";-8.6180199
"41.1514788;";-8.6180056
"41.151464948397;";-8.61797169481868
"41.1514257938713;";-8.61794812001675
"41.1501288333333;";-8.612713
"41.1501132930082;";-8.61796128564385
"41.1501119938762;";-8.61798446141315
"41.1500948417259;";-8.6127741003877
"41.1500439999999;";-8.61797483333333
"41.1500047849534;";-8.60482181785985
"41.149915588825;";-8.63631413787263
"41.1498626741034;";-8.63633994945198
"41.1497757537673;";-8.60498383642044
"41.1497721;";-8.6048734
"41.1497527171419;";-8.61104264059678
"41.1497487;";-8.6048339
"41.1497423656033;";-8.61114922418628
"41.1497159723249;";-8.61107016323334
"41.1496968367915;";-8.6110228106976
"41.1496879806951;";-8.61127621940838
"41.1496856249837;";-8.60492637304938
"41.1496606472937;";-8.6109502892489
"41.1496572953517;";-8.6048883777349
"41.1496560492711;";-8.61100093739359
"41.1496451177931;";-8.61101651014077
"41.1496405424629;";-8.61098670573867
"41.1496270690811;";-8.6050234164567
"41.1496129;";-8.6050386
"41.1496124;";-8.6048907
"41.1496025;";-8.6758337
"41.1495892897936;";-8.60502604984973
"41.1495875;";-8.6049853
"41.1495449;";-8.6759461
"41.1495172202855;";-8.67596353782334
"41.1495142367521;";-8.67597240055206
"41.1495099858064;";-8.62262321415284
"41.1495018;";-8.6113754
"41.1494993134129;";-8.67598028771057
"41.149497;";-8.6759824
"41.1494904756929;";-8.67597864010248
"41.1494639322671;";-8.62266312834235
"41.1494563019069;";-8.6759871919701
"41.1494524941682;";-8.6226779152617
"41.1494428;";-8.6225763
"41.1494391867854;";-8.62263727760876
"41.1494304;";-8.622493
"41.1494213;";-8.6225257
"41.1494171666666;";-8.67597183333333
"41.1493406491737;";-8.63099891693203
"41.1493;";-8.6115104
"41.1492979858446;";-8.61144445412115
"41.1492969375486;";-8.63097838126926
"41.1492911;";-8.6050712
"41.1492843;";-8.6114075
"41.1492768;";-8.6116352
"41.1492675655326;";-8.6116111649382
"41.1492461;";-8.6115537
"41.1492435038239;";-8.6097449780612
"41.1492433455215;";-8.61160505296376
"41.1492320255927;";-8.60970555149019
"41.1491806;";-8.6114893
"41.1491520395448;";-8.61154892599359
"41.1491111;";-8.6097217
"41.1491065333869;";-8.61151171143988
"41.149095646144;";-8.60974014737513
"41.1490482;";-8.6096084
"41.1488904056465;";-8.62690015671784
"41.1488738791342;";-8.6267455959476
"41.1488333;";-8.6268199
"41.1484779;";-8.5991348
"41.1484741230342;";-8.63777994138825
"41.1484683;";-8.6378821
"41.1484561488415;";-8.59906160273458
"41.1484376666666;";-8.59903349999999
"41.1484341749514;";-8.59904751092812
"41.1484165;";-8.5990229
"41.1484134;";-8.6378319
"41.1484118299413;";-8.63784910210042
"41.1484108921815;";-8.63784192026142
"41.1483882;";-8.5990541
"41.1483824;";-8.6446239
"41.1483339413784;";-8.64463335758088
"41.1483098008121;";-8.6446779314509
"41.1482096666666;";-8.58608866666666
"41.1482042336144;";-8.60826712175298
"41.1481914108759;";-8.67480820842094
"41.1481826501492;";-8.58609482072349
"41.1481652968016;";-8.61551209353713
"41.14816;";-8.6748056
"41.1481572489708;";-8.67481648627746
"41.1481437;";-8.6154206
"41.1481433333333;";-8.61551816666666
"41.1481404;";-8.6748072
"41.1481330406281;";-8.61558341744293
"41.1481138333333;";-8.61551633333333
"41.1481043333333;";-8.61547966666666
"41.14808655;";-8.6526699
"41.1480851658071;";-8.6526479479006
